Date/Time,type,signal
3/22/2021 8:00,Entry Long,1
3/22/2021 8:00,Exit Short,0
3/21/2021 2:00,Entry Short,2
3/21/2021 2:00,Exit Long,0
3/19/2021 18:00,Entry Long,1
3/13/2021 12:00,Exit Long,0
3/13/2021 8:00,Entry Long,1
3/13/2021 8:00,Exit Short,0
3/12/2021 12:00,Entry Short,2
3/12/2021 12:00,Exit Long,0
3/11/2021 16:00,Entry Long,1
2/17/2021 8:00,Exit Long,0
2/16/2021 2:00,Entry Long,1
2/16/2021 2:00,Exit Short,0
2/15/2021 2:00,Entry Short,2
2/15/2021 2:00,Exit Long,0
2/14/2021 6:00,Entry Long,1
1/20/2021 10:00,Exit Short,0
1/20/2021 2:00,Entry Short,2
12/9/2020 0:00,Exit Short,0
12/7/2020 18:00,Entry Short,2
12/7/2020 18:00,Exit Long,0
12/6/2020 0:00,Entry Long,1
12/6/2020 0:00,Exit Short,0
12/4/2020 22:00,Entry Short,2
10/28/2020 2:00,Exit Long,0
10/27/2020 8:00,Entry Long,1
10/27/2020 8:00,Exit Short,0
10/26/2020 8:00,Entry Short,2
10/26/2020 8:00,Exit Long,0
10/24/2020 16:00,Entry Long,1
10/20/2020 16:00,Exit Long,0
10/18/2020 6:00,Entry Long,1
10/18/2020 6:00,Exit Short,0
10/16/2020 4:00,Entry Short,2
10/16/2020 4:00,Exit Long,0
10/15/2020 18:00,Entry Long,1
10/10/2020 2:00,Exit Long,0
10/8/2020 12:00,Entry Long,1
10/8/2020 12:00,Exit Short,0
10/8/2020 8:00,Entry Short,2
10/8/2020 8:00,Exit Long,0
10/7/2020 18:00,Entry Long,1
10/7/2020 18:00,Exit Short,0
10/6/2020 10:00,Entry Short,2
10/6/2020 10:00,Exit Long,0
10/3/2020 18:00,Entry Long,1
10/3/2020 18:00,Exit Short,0
10/1/2020 16:00,Entry Short,2
10/1/2020 16:00,Exit Long,0
10/1/2020 0:00,Entry Long,1
10/1/2020 0:00,Exit Short,0
9/28/2020 22:00,Entry Short,2
9/28/2020 22:00,Exit Long,0
9/28/2020 0:00,Entry Long,1
9/21/2020 14:00,Exit Short,0
9/20/2020 2:00,Entry Short,2
9/20/2020 2:00,Exit Long,0
9/18/2020 8:00,Entry Long,1
9/18/2020 8:00,Exit Short,0
9/17/2020 10:00,Entry Short,2
9/17/2020 10:00,Exit Long,0
9/16/2020 6:00,Entry Long,1
9/16/2020 6:00,Exit Short,0
9/16/2020 0:00,Entry Short,2
9/16/2020 0:00,Exit Long,0
9/14/2020 8:00,Entry Long,1
9/14/2020 8:00,Exit Short,0
9/13/2020 12:00,Entry Short,2
9/13/2020 12:00,Exit Long,0
9/12/2020 14:00,Entry Long,1
9/12/2020 14:00,Exit Short,0
9/11/2020 2:00,Entry Short,2
9/11/2020 2:00,Exit Long,0
9/9/2020 10:00,Entry Long,1
9/9/2020 10:00,Exit Short,0
9/8/2020 10:00,Entry Short,2
9/8/2020 10:00,Exit Long,0
9/7/2020 22:00,Entry Long,1
9/7/2020 22:00,Exit Short,0
9/7/2020 14:00,Entry Short,2
9/2/2020 10:00,Exit Short,0
9/2/2020 6:00,Entry Short,2
9/2/2020 6:00,Exit Long,0
9/1/2020 4:00,Entry Long,1
9/1/2020 4:00,Exit Short,0
9/1/2020 0:00,Entry Short,2
9/1/2020 0:00,Exit Long,0
8/31/2020 12:00,Entry Long,1
8/31/2020 12:00,Exit Short,0
8/31/2020 6:00,Entry Short,2
8/31/2020 6:00,Exit Long,0
8/28/2020 12:00,Entry Long,1
8/28/2020 12:00,Exit Short,0
8/27/2020 16:00,Entry Short,2
8/25/2020 18:00,Exit Short,0
8/25/2020 2:00,Entry Short,2
8/25/2020 2:00,Exit Long,0
8/22/2020 20:00,Entry Long,1
8/22/2020 20:00,Exit Short,0
8/21/2020 14:00,Entry Short,2
8/21/2020 14:00,Exit Long,0
8/20/2020 14:00,Entry Long,1
8/20/2020 14:00,Exit Short,0
8/18/2020 12:00,Entry Short,2
8/18/2020 12:00,Exit Long,0
8/17/2020 12:00,Entry Long,1
8/17/2020 12:00,Exit Short,0
8/16/2020 12:00,Entry Short,2
8/16/2020 12:00,Exit Long,0
8/15/2020 22:00,Entry Long,1
8/11/2020 20:00,Exit Short,0
8/10/2020 12:00,Entry Short,2
8/1/2020 18:00,Exit Long,0
